model,problem_index,gsm8k_index,baseline_truth,high_scale_truth,delta,within_problem_auc
Llama-3-8B-Instruct,64,661,0.92725,1.0,0.07274999999999998,0.9992126980067987
Llama-3-8B-Instruct,65,662,0.88975,1.0,0.11024999999999996,0.8451946105781453
Llama-3-8B-Instruct,66,666,0.893375,1.0,0.10662499999999997,0.9995814736948466
Llama-3-8B-Instruct,67,679,0.9608749999999999,1.0,0.039125000000000076,0.99979426698991
Llama-3-8B-Instruct,68,705,0.993125,1.0,0.0068749999999999645,1.0
Llama-3-8B-Instruct,69,723,0.99425,1.0,0.005750000000000033,1.0
Llama-3-8B-Instruct,70,724,0.11975000000000002,1.0,0.88025,1.0
Llama-3-8B-Instruct,71,725,0.61,1.0,0.39,1.0
Llama-3-8B-Instruct,72,736,0.594375,1.0,0.405625,0.9997902135291858
Llama-3-8B-Instruct,73,744,0.97075,1.0,0.029249999999999998,0.9998789375559913
Llama-3-8B-Instruct,74,752,0.09887499999999999,0.0,-0.09887499999999999,0.0885295964676827
Llama-3-8B-Instruct,75,758,0.993875,1.0,0.006125000000000047,0.9861010936886389
Llama-3-8B-Instruct,76,772,0.866375,1.0,0.133625,0.9959613936060099
Llama-3-8B-Instruct,77,776,0.99725,1.0,0.00275000000000003,0.894471159324506
Llama-3-8B-Instruct,78,791,0.993625,1.0,0.0063750000000000195,1.0
Llama-3-8B-Instruct,79,796,0.0062500000000000056,0.0,-0.0062500000000000056,0.035471698113207495
Llama-3-8B-Instruct,80,805,0.9948750000000001,1.0,0.005124999999999935,0.991889837858047
Llama-3-8B-Instruct,81,812,0.17250000000000004,0.0,-0.17250000000000004,0.5995468277945619
Llama-3-8B-Instruct,82,816,0.99825,1.0,0.0017500000000000293,0.9991234660656148
Llama-3-8B-Instruct,83,818,0.911375,1.0,0.08862499999999995,0.9998650692673446
Llama-3-8B-Instruct,84,836,0.9756250000000001,1.0,0.024374999999999925,0.9998919167529032
Llama-3-8B-Instruct,85,850,0.954375,1.0,0.04562500000000003,1.0
Llama-3-8B-Instruct,86,852,0.9653750000000001,1.0,0.034624999999999906,0.9988416614818787
Llama-3-8B-Instruct,87,859,0.9722500000000001,1.0,0.02774999999999994,0.9996142967343791
Llama-3-8B-Instruct,88,867,0.999,1.0,0.0010000000000000009,1.0
Llama-3-8B-Instruct,89,873,0.938,1.0,0.062000000000000055,0.9970859627553477
Llama-3-8B-Instruct,90,885,0.854625,1.0,0.14537500000000003,1.0
Llama-3-8B-Instruct,91,893,0.9887499999999999,1.0,0.011250000000000093,0.9974996488270825
