m,N,L,bins,primal_lower,continuum_dual_at_a,constructive_lower,constructive_upper,lambda_plus,lambda_minus,a_l1
8,64,0.25,4096,0.005197862353186413,0.005197877269631591,0.0011235301752150794,0.02120411489689729,5.4356587794059206e-14,0.0,10707.869121390937
8,64,0.5,4096,0.010395724706060743,0.010395754538236254,0.002247060350430159,0.04240822979379458,0.0,0.0,10700.917394471371
8,64,1.0,4096,0.020791449412508954,0.02079150907845493,0.004494120700860318,0.08481645958758915,0.0,7.675784191358654e-14,10707.869121391961
8,64,2.0,4096,0.04150898384821638,0.041509181025256935,0.008988241401720635,0.1696329191751783,0.0020469855018063754,0.0,10786.248625876175
8,64,4.0,4096,0.07227386982718915,0.07227439007173758,0.01797648280344127,0.3392658383503566,0.022820988208650306,0.0,16236.421276181323
8,64,8.0,4096,0.1080381043718254,0.10803864641609427,0.03595296560688254,0.6785316767007132,0.05713233833148479,0.0,29184.13682541692
8,64,16.0,4096,0.1383449070553782,0.1383473204917878,0.03595296560688254,0.7188477911387522,0.10432776701600233,0.0,46418.351340222085
