model,audit_m,target_N,grid_bins,lower,upper,width,max_audit_residual
Llama-3-8B,8,100,200,0.189593435685,0.991722862189,0.802129426504,1.110e-15
Llama-3-8B,8,100,500,0.186154150073,0.991894876717,0.805740726643,1.998e-15
Llama-3-8B,8,100,1000,0.18562081809,0.991928719578,0.806307901487,7.216e-15
Llama-3-70B,8,100,200,0.311529745841,0.995923178415,0.684393432574,1.776e-15
Llama-3-70B,8,100,500,0.304926285738,0.996013091698,0.69108680596,2.554e-15
Llama-3-70B,8,100,1000,0.304657681412,0.996020132012,0.6913624506,1.232e-14
